MESSAGE_ID,SENTIMENT_POLARITY,SENTIMENT_TERM
"tag:search.twitter.com,2005:548666638057218049",POSITIVE,Free
"tag:search.twitter.com,2005:750299401264852992",POSITIVE,Thank you
"tag:search.twitter.com,2005:750299401264852992",POSITIVE,wonderful
"tag:search.twitter.com,2005:771377942685331456",NEGATIVE,dilemma
"tag:search.twitter.com,2005:771372451922059264",NEGATIVE,dilemma
"tag:search.twitter.com,2005:771303013143097344",NEGATIVE,dilemma
"tag:search.twitter.com,2005:771262930700480512",NEGATIVE,dilemma
"tag:search.twitter.com,2005:771267228171776001",NEGATIVE,dilemma
"tag:search.twitter.com,2005:771259967835738113",NEGATIVE,dilemma
"tag:search.twitter.com,2005:771985477154971648",POSITIVE,dedicating
"tag:search.twitter.com,2005:775407978027638785",NEGATIVE,bad
"tag:search.twitter.com,2005:775407978027638785",POSITIVE,better
"tag:search.twitter.com,2005:775407978027638785",NEGATIVE,Complaint
"tag:search.twitter.com,2005:775525858127773696",POSITIVE,preference
"tag:search.twitter.com,2005:777099285389250560",POSITIVE,sufficient
"tag:search.twitter.com,2005:737339917509009412",POSITIVE,cheaper
"tag:search.twitter.com,2005:769927477707677696",POSITIVE,hyped
"tag:search.twitter.com,2005:771617943725584384",NEGATIVE,wrong
"tag:search.twitter.com,2005:771617943725584384",NEGATIVE,debate
"tag:search.twitter.com,2005:771359815323058176",NEGATIVE,dilemma
"tag:search.twitter.com,2005:771351569736560640",NEGATIVE,dilemma
"tag:search.twitter.com,2005:771274252377026560",NEGATIVE,dilemma
"tag:search.twitter.com,2005:771267534334988288",NEGATIVE,dilemma
"tag:search.twitter.com,2005:681380425810329600",POSITIVE,amazing
"tag:search.twitter.com,2005:681381703370162176",POSITIVE,amazing
"tag:search.twitter.com,2005:702185103540297732",NEGATIVE,delayed
"tag:search.twitter.com,2005:702185103540297732",NEGATIVE,issues
"tag:search.twitter.com,2005:759648945689792512",POSITIVE,advantage
"tag:search.twitter.com,2005:765112507740528640",POSITIVE,best
"tag:search.twitter.com,2005:766197095606915072",NEGATIVE,unable
"tag:search.twitter.com,2005:770974261490089984",NEGATIVE,issues
"tag:search.twitter.com,2005:771058932307460097",POSITIVE,trust
"tag:search.twitter.com,2005:771058932307460097",POSITIVE,tough
"tag:search.twitter.com,2005:771058932307460097",NEGATIVE,bad
"tag:search.twitter.com,2005:771357029877354496",NEGATIVE,dilemma
"tag:search.twitter.com,2005:771381436548997121",NEGATIVE,dilemma
"tag:search.twitter.com,2005:771279099708997632",NEGATIVE,dilemma
"tag:search.twitter.com,2005:771275144501170176",NEGATIVE,dilemma
"tag:search.twitter.com,2005:771239493743484928",NEGATIVE,dilemma
"tag:search.twitter.com,2005:772848485410504704",POSITIVE,equal
"tag:search.twitter.com,2005:773487350454312960",NEGATIVE,not working
"tag:search.twitter.com,2005:774092656896901120",POSITIVE,available
"tag:search.twitter.com,2005:776767666111381504",POSITIVE,great
"tag:search.twitter.com,2005:587689592515616769",POSITIVE,promise
"tag:search.twitter.com,2005:770249601521680384",POSITIVE,free
"tag:search.twitter.com,2005:771354853889015810",NEGATIVE,dilemma
"tag:search.twitter.com,2005:771319450180149249",POSITIVE,interesting
"tag:search.twitter.com,2005:771319450180149249",POSITIVE,interesting
"tag:search.twitter.com,2005:771264985045409794",NEGATIVE,dilemma
"tag:search.twitter.com,2005:771985473350668288",POSITIVE,dedicating
"tag:search.twitter.com,2005:771990109335883776",POSITIVE,dedicating
"tag:search.twitter.com,2005:771704760747425793",POSITIVE,endorsing
"tag:search.twitter.com,2005:771704760747425793",POSITIVE,endorsing
"tag:search.twitter.com,2005:771704760747425793",NEGATIVE,issues
"tag:search.twitter.com,2005:771570105570369536",NEGATIVE,confused
"tag:search.twitter.com,2005:772648632696737792",POSITIVE,endorsing
"tag:search.twitter.com,2005:772648632696737792",POSITIVE,endorsing
"tag:search.twitter.com,2005:772648632696737792",NEGATIVE,issues
"tag:search.twitter.com,2005:774948112032894976",NEGATIVE,disaster
"tag:search.twitter.com,2005:774948112032894976",NEGATIVE,waste
"tag:search.twitter.com,2005:776768713445957632",POSITIVE,great
"tag:search.twitter.com,2005:681382481849937920",POSITIVE,amazing
